"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 29, 2018","166.44","164.00","167.00","164.00","1.02M","1.04%"
"Jun 28, 2018","164.72","164.10","166.25","162.01","962.60K","0.07%"
"Jun 27, 2018","164.60","166.70","168.25","164.00","1.15M","-0.51%"
"Jun 26, 2018","165.45","165.80","167.75","164.10","2.10M","0.07%"
"Jun 25, 2018","165.33","163.11","166.50","161.12","1.84M","0.80%"
"Jun 22, 2018","164.01","167.75","169.69","163.25","3.01M","-2.25%"
"Jun 21, 2018","167.79","172.00","172.00","167.06","2.41M","-3.26%"
"Jun 20, 2018","173.45","179.39","179.50","172.67","1.25M","-3.54%"
"Jun 19, 2018","179.81","182.00","182.00","178.00","1.49M","-0.38%"
"Jun 14, 2018","180.50","185.00","185.00","180.00","1.78M","-1.37%"
"Jun 13, 2018","183.00","182.50","185.25","181.25","595.20K","0.00%"
"Jun 12, 2018","183.00","187.03","189.99","181.00","441.50K","-2.97%"
"Jun 11, 2018","188.60","184.99","190.99","183.00","1.89M","2.11%"
"Jun 07, 2018","184.70","190.00","190.80","184.11","1.15M","-2.02%"
"Jun 06, 2018","188.50","181.00","189.74","180.02","2.25M","4.14%"
"Jun 05, 2018","181.00","175.00","183.54","174.02","1.46M","3.13%"
"Jun 04, 2018","175.50","172.00","176.49","171.00","2.06M","1.50%"
"Jun 01, 2018","172.91","165.00","174.25","165.00","1.12M","1.00%"
"May 31, 2018","171.19","169.05","175.50","166.56","2.84M","1.02%"
"May 30, 2018","169.46","174.00","174.00","169.00","1.43M","-2.33%"
"May 29, 2018","173.50","168.52","174.70","168.52","298.40K","1.92%"
"May 28, 2018","170.23","173.95","174.50","169.01","693.20K","-0.22%"
"May 25, 2018","170.61","173.01","176.49","170.00","562.20K","-2.51%"
"May 24, 2018","175.00","174.00","177.01","173.00","565.60K","-0.37%"
"May 23, 2018","175.65","175.60","180.50","174.00","851.30K","0.11%"
"May 22, 2018","175.45","171.00","176.00","171.00","1.31M","2.45%"
"May 21, 2018","171.25","170.90","172.00","168.00","1.23M","1.63%"
"May 18, 2018","168.50","169.00","170.00","166.99","423.10K","0.60%"
"May 17, 2018","167.50","169.12","170.98","167.50","446.20K","-1.48%"
"May 16, 2018","170.01","170.95","170.99","169.20","546.80K","0.00%"
"May 15, 2018","170.01","170.46","172.00","168.50","1.55M","0.01%"
"May 14, 2018","170.00","175.50","175.50","169.49","950.20K","-3.52%"
"May 11, 2018","176.20","174.00","176.50","172.31","192.00K","0.97%"
"May 10, 2018","174.50","177.01","178.50","174.00","1.14M","-0.35%"
"May 09, 2018","175.11","177.10","177.98","173.00","1.88M","-1.62%"
"May 08, 2018","177.99","177.05","178.30","175.00","1.39M","-0.01%"
"May 07, 2018","178.01","180.00","181.00","177.00","714.50K","-2.06%"
"May 04, 2018","181.75","183.10","185.00","180.07","895.90K","-1.75%"
"May 03, 2018","184.98","191.25","194.40","183.50","1.48M","-3.53%"
"May 02, 2018","191.75","196.00","196.00","190.12","1.24M","-1.16%"
"Apr 30, 2018","194.00","197.22","199.50","192.50","1.04M","-1.27%"
"Apr 27, 2018","196.50","197.00","198.48","195.00","1.79M","0.27%"
"Apr 26, 2018","195.97","199.99","200.00","193.99","1.51M","-1.40%"
"Apr 25, 2018","198.75","200.78","200.79","198.51","186.80K","-1.36%"
"Apr 24, 2018","201.50","198.00","201.75","197.57","967.70K","1.77%"
"Apr 23, 2018","198.00","198.00","198.98","196.50","1.09M","1.03%"
"Apr 20, 2018","195.99","200.00","202.70","195.60","532.60K","-2.49%"
"Apr 19, 2018","201.00","198.01","202.70","195.06","1.28M","0.86%"
"Apr 18, 2018","199.29","206.00","206.00","198.50","1.70M","-3.26%"
"Apr 17, 2018","206.00","209.00","208.99","203.56","2.73M","-1.44%"
"Apr 16, 2018","209.00","207.05","210.50","207.05","266.90K","-0.48%"
"Apr 13, 2018","210.00","209.60","210.90","208.75","851.70K","-0.24%"
"Apr 12, 2018","210.50","215.00","215.01","210.00","540.90K","-2.32%"
"Apr 11, 2018","215.50","217.00","218.40","214.26","324.70K","-0.24%"
"Apr 10, 2018","216.01","215.05","217.99","214.00","556.10K","-0.69%"
"Apr 09, 2018","217.50","218.00","219.89","217.00","212.80K","-0.68%"
"Apr 06, 2018","218.99","221.00","229.72","215.00","4.62M","-0.00%"
"Apr 05, 2018","219.00","210.00","220.04","209.00","1.95M","4.53%"
"Apr 04, 2018","209.50","207.50","211.00","206.31","1.13M","1.01%"
"Apr 03, 2018","207.40","207.50","209.90","207.40","957.50K","-0.77%"
"Apr 02, 2018","209.01","210.40","210.40","206.00","1.02M","-1.48%"
"Mar 30, 2018","212.15","209.40","213.85","207.90","1.08M","1.75%"
"Mar 29, 2018","208.50","208.88","210.00","207.10","1.27M","-0.24%"
"Mar 28, 2018","209.00","209.56","211.50","208.00","1.09M","-0.94%"
"Mar 27, 2018","210.98","211.00","213.89","210.50","150.60K","-0.95%"
"Mar 26, 2018","213.00","211.00","216.50","210.31","976.20K","-0.80%"
"Mar 22, 2018","214.71","211.89","214.99","211.89","657.40K","1.33%"
"Mar 21, 2018","211.89","205.01","212.90","205.25","995.50K","3.40%"
"Mar 20, 2018","204.92","197.60","208.00","197.60","1.08M","2.71%"
"Mar 19, 2018","199.52","200.55","202.00","198.25","657.10K","-1.12%"
"Mar 16, 2018","201.78","200.02","205.00","200.02","1.04M","-0.11%"
"Mar 15, 2018","202.00","200.08","203.50","198.11","528.20K","1.00%"
"Mar 14, 2018","200.00","205.40","205.40","199.50","2.37M","-2.44%"
"Mar 13, 2018","205.00","205.50","206.49","203.10","621.60K","-0.31%"
"Mar 12, 2018","205.64","204.00","207.88","204.00","357.70K","0.36%"
"Mar 09, 2018","204.90","202.07","205.22","201.10","110.60K","0.70%"
"Mar 08, 2018","203.47","205.06","207.50","202.50","700.60K","-1.47%"
"Mar 07, 2018","206.50","208.80","210.25","206.25","1.77M","-1.10%"
"Mar 06, 2018","208.80","212.00","214.00","208.52","431.60K","-1.91%"
"Mar 05, 2018","212.86","210.00","214.88","208.05","423.40K","1.36%"
"Mar 02, 2018","210.01","208.00","211.00","206.02","584.80K","0.90%"
"Mar 01, 2018","208.14","208.00","209.90","206.10","608.30K","-0.17%"
"Feb 28, 2018","208.50","208.90","215.00","206.03","1.41M","-0.57%"
"Feb 27, 2018","209.70","203.53","211.00","203.00","506.10K","1.30%"
"Feb 26, 2018","207.00","212.84","213.51","206.20","429.60K","-1.43%"
"Feb 23, 2018","210.00","215.00","216.00","207.10","969.00K","-0.31%"
"Feb 22, 2018","210.65","202.00","212.50","200.00","1.43M","1.28%"
"Feb 21, 2018","207.99","209.60","211.49","200.50","1.01M","-0.00%"
"Feb 20, 2018","208.00","211.51","211.61","203.01","784.10K","-1.89%"
"Feb 19, 2018","212.00","214.20","216.00","211.01","920.10K","-0.70%"
"Feb 16, 2018","213.50","203.00","214.93","203.00","1.36M","4.32%"
"Feb 15, 2018","204.65","203.47","205.00","198.52","552.00K","0.08%"
"Feb 14, 2018","204.49","197.20","206.00","195.50","1.34M","3.37%"
"Feb 13, 2018","197.82","191.51","199.90","189.00","1.67M","3.57%"
"Feb 12, 2018","191.01","195.50","195.92","191.00","820.20K","-2.55%"
"Feb 09, 2018","196.00","190.87","196.00","190.11","750.30K","1.03%"
"Feb 08, 2018","194.00","193.06","195.99","191.00","344.40K","-0.31%"
"Feb 07, 2018","194.61","195.50","197.00","194.50","1.05M","-0.17%"
"Feb 06, 2018","194.95","195.55","196.85","193.00","707.00K","-1.28%"
"Feb 02, 2018","197.48","198.00","201.89","196.10","1.02M","-0.01%"
"Feb 01, 2018","197.50","195.00","201.00","194.00","1.63M","1.79%"
"Jan 31, 2018","194.02","194.89","197.45","191.50","2.64M","-0.30%"
"Jan 30, 2018","194.60","204.20","205.48","194.20","3.06M","-5.07%"
"Jan 29, 2018","204.99","206.00","209.00","201.00","1.24M","1.53%"
"Jan 26, 2018","201.90","208.10","208.10","200.10","1.37M","-3.25%"
"Jan 25, 2018","208.68","210.10","211.00","208.00","569.60K","-0.98%"
"Jan 24, 2018","210.75","205.00","213.20","205.00","1.98M","2.80%"
"Jan 23, 2018","205.00","208.50","208.89","198.99","3.61M","-1.91%"
"Jan 22, 2018","209.00","206.85","210.40","204.00","1.78M","0.92%"
"Jan 19, 2018","207.09","204.50","209.00","200.56","1.00M","1.77%"
"Jan 18, 2018","203.49","202.01","205.00","199.99","2.69M","1.24%"
"Jan 17, 2018","201.00","195.00","203.00","195.00","1.43M","1.77%"
"Jan 16, 2018","197.50","190.00","198.39","190.00","617.00K","3.69%"
"Jan 15, 2018","190.47","193.00","194.30","189.00","1.25M","-2.22%"
"Jan 12, 2018","194.80","192.00","195.25","190.75","1.68M","0.72%"
"Jan 11, 2018","193.41","192.00","198.00","190.15","2.12M","0.69%"
"Jan 10, 2018","192.09","186.90","193.45","186.90","1.83M","2.01%"
"Jan 09, 2018","188.30","192.15","192.50","184.01","1.69M","-1.97%"
"Jan 08, 2018","192.08","186.50","193.10","185.00","2.39M","3.34%"
"Jan 05, 2018","185.87","181.50","187.50","181.00","2.92M","2.29%"
"Jan 04, 2018","181.70","177.90","182.80","177.00","1.74M","2.71%"
"Jan 03, 2018","176.90","178.60","182.00","176.55","1.21M","-1.54%"
"Jan 02, 2018","179.67","174.00","180.00","173.50","2.62M","3.11%"
"Jan 01, 2018","174.25","168.99","174.45","166.00","887.10K","4.34%"
"Dec 29, 2017","167.00","167.68","170.50","166.80","1.03M","-1.47%"
"Dec 28, 2017","169.50","170.50","172.28","169.08","987.70K","-1.17%"
"Dec 27, 2017","171.50","171.00","173.12","169.51","1.53M","0.29%"
"Dec 26, 2017","171.00","169.99","171.80","168.02","268.60K","0.55%"
"Dec 22, 2017","170.07","172.00","172.00","168.98","1.28M","0.34%"
"Dec 21, 2017","169.50","167.25","172.92","166.00","3.82M","1.45%"
"Dec 20, 2017","167.07","161.00","167.07","159.25","1.92M","5.08%"
"Dec 19, 2017","159.00","159.90","160.00","156.99","829.40K","1.25%"
"Dec 18, 2017","157.03","159.95","159.98","157.00","808.10K","-1.24%"
"Dec 15, 2017","159.00","156.35","160.50","155.00","4.12M","2.58%"
